Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
0.0,4.114702429221932,2.0,298.15,298.15
1.0,4.112924675951415,2.0,298.15,298.15
2.0,4.111247650481944,2.0,298.15,298.15
3.0,4.10967619481624,2.0,298.15,298.15
4.0,4.10820381424173,2.0,298.15,298.15
5.0,4.106822767137229,2.0,298.15,298.15
6.0,4.105524306309163,2.0,298.15,298.15
7.0,4.104300185977182,2.0,298.15,298.15
8.0,4.103142944885174,2.0,298.15,298.15
9.0,4.102045942426087,2.0,298.15,298.15
10.0,4.1010033096587755,2.0,298.15,298.15
11.0,4.100009874065041,2.0,298.15,298.15
12.0,4.0990610818123105,2.0,298.15,298.15
13.0,4.098152917007684,2.0,298.15,298.15
14.0,4.097281832227638,2.0,298.15,298.15
15.0,4.096444690227345,2.0,298.15,298.15
16.0,4.095638710438335,2.0,298.15,298.15
17.0,4.094861422579801,2.0,298.15,298.15
18.0,4.094110626574822,2.0,298.15,298.15
19.0,4.093384357953061,2.0,298.15,298.15
20.0,4.092680858090266,2.0,298.15,298.15
21.0,4.091998548530692,2.0,298.15,298.15
22.0,4.091336008848632,2.0,298.15,298.15
23.0,4.090691957528355,2.0,298.15,298.15
24.0,4.090065233769787,2.0,298.15,298.15
25.0,4.089454785993099,2.0,298.15,298.15
26.0,4.088859659156127,2.0,298.15,298.15
27.0,4.088278983007266,2.0,298.15,298.15
28.0,4.087711962810214,2.0,298.15,298.15
29.0,4.087157870783271,2.0,298.15,298.15
30.0,4.086616039308132,2.0,298.15,298.15
31.0,4.086085854526232,2.0,298.15,298.15
32.0,4.08556674937059,2.0,298.15,298.15
33.0,4.085058199823072,2.0,298.15,298.15
34.0,4.084559723136247,2.0,298.15,298.15
35.0,4.084070871837743,2.0,298.15,298.15
36.0,4.083591230386667,2.0,298.15,298.15
37.0,4.0831204122063,2.0,298.15,298.15
38.0,4.082658057045154,2.0,298.15,298.15
39.0,4.0822038286254045,2.0,298.15,298.15
40.0,4.081757412542963,2.0,298.15,298.15
41.0,4.081318514388743,2.0,298.15,298.15
42.0,4.080886858064381,2.0,298.15,298.15
43.0,4.080462184269594,2.0,298.15,298.15
44.0,4.080044249140629,2.0,298.15,298.15
45.0,4.079632823023112,2.0,298.15,298.15
46.0,4.079227689363373,2.0,298.15,298.15
47.0,4.078828643705412,2.0,298.15,298.15
48.0,4.078435492781775,2.0,298.15,298.15
49.0,4.078048053687956,2.0,298.15,298.15
50.0,4.07766615313168,2.0,298.15,298.15
51.0,4.0772896267489696,2.0,298.15,298.15
52.0,4.07691831778862,2.0,298.15,298.15
53.0,4.076552077764646,2.0,298.15,298.15
54.0,4.076190765663396,2.0,298.15,298.15
55.0,4.075834247193827,2.0,298.15,298.15
56.0,4.075482394349675,2.0,298.15,298.15
57.0,4.075135085007089,2.0,298.15,298.15
58.0,4.074792202554175,2.0,298.15,298.15
59.0,4.07445363554952,2.0,298.15,298.15
60.0,4.074119277407006,2.0,298.15,298.15
61.0,4.07378902610461,2.0,298.15,298.15
62.0,4.0734627839148985,2.0,298.15,298.15
63.0,4.073140457155445,2.0,298.15,298.15
64.0,4.072821955957258,2.0,298.15,298.15
65.0,4.072507194049868,2.0,298.15,298.15
66.0,4.07219623574275,2.0,298.15,298.15
67.0,4.071888844768856,2.0,298.15,298.15
68.0,4.071584945103046,2.0,298.15,298.15
69.0,4.0712844635547905,2.0,298.15,298.15
70.0,4.070987329621178,2.0,298.15,298.15
71.0,4.070693475349384,2.0,298.15,298.15
72.0,4.070402835207987,2.0,298.15,298.15
73.0,4.070115345966529,2.0,298.15,298.15
74.0,4.069830946582378,2.0,298.15,298.15
75.0,4.069549578094864,2.0,298.15,298.15
76.0,4.069271183525486,2.0,298.15,298.15
77.0,4.0689957077844845,2.0,298.15,298.15
78.0,4.06872309758269,2.0,298.15,298.15
79.0,4.06845330134868,2.0,298.15,298.15
80.0,4.068186269150654,2.0,298.15,298.15
81.0,4.067921952622835,2.0,298.15,298.15
82.0,4.067660304896078,2.0,298.15,298.15
83.0,4.067401280532132,2.0,298.15,298.15
84.0,4.067144835461863,2.0,298.15,298.15
85.0,4.066890926926525,2.0,298.15,298.15
86.0,4.066639513422414,2.0,298.15,298.15
87.0,4.066390554648465,2.0,298.15,298.15
88.0,4.0661440114564185,2.0,298.15,298.15
89.0,4.0658998458038305,2.0,298.15,298.15
90.0,4.065658020709375,2.0,298.15,298.15
91.0,4.065418500210387,2.0,298.15,298.15
92.0,4.065181249322732,2.0,298.15,298.15
93.0,4.064946234002431,2.0,298.15,298.15
94.0,4.064713421109414,2.0,298.15,298.15
95.0,4.064482778372886,2.0,298.15,298.15
96.0,4.064254274358391,2.0,298.15,298.15
97.0,4.064027878436596,2.0,298.15,298.15
98.0,4.063803560753353,2.0,298.15,298.15
99.0,4.063581292201274,2.0,298.15,298.15
100.0,4.063361044392612,2.0,298.15,298.15
101.0,4.06314278963343,2.0,298.15,298.15
102.0,4.06292650089886,2.0,298.15,298.15
103.0,4.062712151809516,2.0,298.15,298.15
104.0,4.06249971660899,2.0,298.15,298.15
105.0,4.062289170142344,2.0,298.15,298.15
106.0,4.062080487835473,2.0,298.15,298.15
107.0,4.06187364567545,2.0,298.15,298.15
108.0,4.061668620191616,2.0,298.15,298.15
109.0,4.061465388437644,2.0,298.15,298.15
110.0,4.061263927974173,2.0,298.15,298.15
111.0,4.061064216852289,2.0,298.15,298.15
112.0,4.060866233597656,2.0,298.15,298.15
113.0,4.0606699571952625,2.0,298.15,298.15
114.0,4.0604753670748615,2.0,298.15,298.15
115.0,4.060282443096931,2.0,298.15,298.15
116.0,4.060091165539288,2.0,298.15,298.15
117.0,4.059901515084095,2.0,298.15,298.15
118.0,4.059713472805525,2.0,298.15,298.15
119.0,4.059527020157777,2.0,298.15,298.15
120.0,4.059342138963684,2.0,298.15,298.15
121.0,4.059158811403653,2.0,298.15,298.15
122.0,4.05897702000509,2.0,298.15,298.15
123.0,4.0587967476321705,2.0,298.15,298.15
124.0,4.058617977476034,2.0,298.15,298.15
125.0,4.05844069304534,2.0,298.15,298.15
126.0,4.058264878157198,2.0,298.15,298.15
127.0,4.058090516928304,2.0,298.15,298.15
128.0,4.05791759376662,2.0,298.15,298.15
129.0,4.057746093363105,2.0,298.15,298.15
130.0,4.057576000683921,2.0,298.15,298.15
131.0,4.057407300962844,2.0,298.15,298.15
132.0,4.057239979693944,2.0,298.15,298.15
133.0,4.05707402262455,2.0,298.15,298.15
134.0,4.056909415748442,2.0,298.15,298.15
135.0,4.05674614529923,2.0,298.15,298.15
136.0,4.056584197744032,2.0,298.15,298.15
137.0,4.05642355977738,2.0,298.15,298.15
138.0,4.056264218315197,2.0,298.15,298.15
139.0,4.056106160489143,2.0,298.15,298.15
140.0,4.0559493736410435,2.0,298.15,298.15
141.0,4.055793845317526,2.0,298.15,298.15
142.0,4.055639563264879,2.0,298.15,298.15
143.0,4.055486515423977,2.0,298.15,298.15
144.0,4.055334689925429,2.0,298.15,298.15
145.0,4.055184075084941,2.0,298.15,298.15
146.0,4.055034659398723,2.0,298.15,298.15
147.0,4.054886431539118,2.0,298.15,298.15
148.0,4.054739380350262,2.0,298.15,298.15
149.0,4.0545934948440445,2.0,298.15,298.15
150.0,4.054448764196053,2.0,298.15,298.15
151.0,4.05430517774169,2.0,298.15,298.15
152.0,4.054162724972408,2.0,298.15,298.15
153.0,4.054021395532086,2.0,298.15,298.15
154.0,4.053881179213491,2.0,298.15,298.15
155.0,4.053742065954813,2.0,298.15,298.15
156.0,4.053604045836345,2.0,298.15,298.15
157.0,4.053467109077288,2.0,298.15,298.15
158.0,4.053331246032541,2.0,298.15,298.15
159.0,4.053196447189759,2.0,298.15,298.15
160.0,4.053062703166273,2.0,298.15,298.15
161.0,4.052930004706352,2.0,298.15,298.15
162.0,4.052798342678307,2.0,298.15,298.15
163.0,4.052667708071814,2.0,298.15,298.15
164.0,4.052538091995343,2.0,298.15,298.15
165.0,4.052409485673444,2.0,298.15,298.15
166.0,4.052281880444479,2.0,298.15,298.15
167.0,4.052155267758013,2.0,298.15,298.15
168.0,4.052029639172564,2.0,298.15,298.15
169.0,4.051904986353282,2.0,298.15,298.15
170.0,4.05178130106976,2.0,298.15,298.15
171.0,4.0516585751938194,2.0,298.15,298.15
172.0,4.051536800697449,2.0,298.15,298.15
173.0,4.051415969650713,2.0,298.15,298.15
174.0,4.051296074219822,2.0,298.15,298.15
175.0,4.051177106665171,2.0,298.15,298.15
176.0,4.051059059339375,2.0,298.15,298.15
177.0,4.050941924685537,2.0,298.15,298.15
178.0,4.050825695235401,2.0,298.15,298.15
179.0,4.050710363607622,2.0,298.15,298.15
180.0,4.050595922506057,2.0,298.15,298.15
181.0,4.050482364782395,2.0,298.15,298.15
182.0,4.05036968323806,2.0,298.15,298.15
